# (1) ID
# (2) File
# (3) Description
# (4) Type
# (5) units
94,map.CS.NAME_NORM_93_ssp.fits.gz,Luminosity Fraction for age-met 0.3548-0.0076 SSP, flux, fraction
95,map.CS.NAME_NORM_94_ssp.fits.gz,Luminosity Fraction for age-met 0.3548-0.0190 SSP, flux, fraction
96,map.CS.NAME_NORM_95_ssp.fits.gz,Luminosity Fraction for age-met 0.3548-0.0315 SSP, flux, fraction
97,map.CS.NAME_NORM_96_ssp.fits.gz,Luminosity Fraction for age-met 0.5012-0.0037 SSP, flux, fraction
98,map.CS.NAME_NORM_97_ssp.fits.gz,Luminosity Fraction for age-met 0.5012-0.0076 SSP, flux, fraction
99,map.CS.NAME_NORM_98_ssp.fits.gz,Luminosity Fraction for age-met 0.5012-0.0190 SSP, flux, fraction
100,map.CS.NAME_NORM_99_ssp.fits.gz,Luminosity Fraction for age-met 0.5012-0.0315 SSP, flux, fraction
101,map.CS.NAME_NORM_100_ssp.fits.gz,Luminosity Fraction for age-met 0.7079-0.0037 SSP, flux, fraction
102,map.CS.NAME_NORM_101_ssp.fits.gz,Luminosity Fraction for age-met 0.7079-0.0076 SSP, flux, fraction
103,map.CS.NAME_NORM_102_ssp.fits.gz,Luminosity Fraction for age-met 0.7079-0.0190 SSP, flux, fraction
104,map.CS.NAME_NORM_103_ssp.fits.gz,Luminosity Fraction for age-met 0.7079-0.0315 SSP, flux, fraction
105,map.CS.NAME_NORM_104_ssp.fits.gz,Luminosity Fraction for age-met 0.8913-0.0037 SSP, flux, fraction
106,map.CS.NAME_NORM_105_ssp.fits.gz,Luminosity Fraction for age-met 0.8913-0.0076 SSP, flux, fraction
107,map.CS.NAME_NORM_106_ssp.fits.gz,Luminosity Fraction for age-met 0.8913-0.0190 SSP, flux, fraction
108,map.CS.NAME_NORM_107_ssp.fits.gz,Luminosity Fraction for age-met 0.8913-0.0315 SSP, flux, fraction
109,map.CS.NAME_NORM_108_ssp.fits.gz,Luminosity Fraction for age-met 10.0000-0.0037 SSP, flux, fraction
110,map.CS.NAME_NORM_109_ssp.fits.gz,Luminosity Fraction for age-met 10.0000-0.0076 SSP, flux, fraction
111,map.CS.NAME_NORM_110_ssp.fits.gz,Luminosity Fraction for age-met 10.0000-0.0190 SSP, flux, fraction
112,map.CS.NAME_NORM_111_ssp.fits.gz,Luminosity Fraction for age-met 10.0000-0.0315 SSP, flux, fraction
113,map.CS.NAME_NORM_112_ssp.fits.gz,Luminosity Fraction for age-met 1.1220-0.0037 SSP, flux, fraction
